initializing,approximating,computingfulldistances,finalizing,finished,dataset,distance,linkage,strategy
587,742.0,114941,248,116518,ScreenType,dtw,ward,approx_distance_ascending
226,380.0,255,4,865,ShapeletSim,sbd,complete,fcfs
171,117.0,49,80,417,GunPointAgeSpan,euclidean,weighted,fcfs
1705,2293.0,2716808,353,2721159,MixedShapesSmallTrain,msm,ward,fcfs
210,83.0,198,2,493,ShapeletSim,lorentzian,average,pre_clustering
168,265.0,2132,16,2581,GestureMidAirD1,msm,weighted,fcfs
1044,1157.0,752063,250,754514,SemgHandGenderCh2,dtw,ward,pre_clustering
945,915.0,755618,215,757693,SemgHandSubjectCh2,dtw,single,approx_distance_ascending
1446,1898.0,1907024,374,1910742,Phoneme,msm,single,pre_clustering
229,3693.0,113067,487,117476,AllGestureWiimoteX,kdtw,average,approx_distance_ascending
1510,5455.0,1759281,1058,1767304,FordB,msm,weighted,approx_distance_ascending
168,90.0,85,102,445,PowerCons,euclidean,average,approx_distance_ascending
192,410.0,1030,342,1974,DistalPhalanxOutlineAgeGroup,msm,average,pre_clustering
139,343.0,408,15,905,edeniss20182020_par_anomalies,sbd,weighted,fcfs
167,1699.0,14357,31,16254,ProximalPhalanxTW,kdtw,ward,fcfs
1700,1733.0,17185,441,21059,NonInvasiveFetalECGThorax2,lorentzian,complete,fcfs
151,116.0,486,78,831,OliveOil,msm,ward,fcfs
100,39.0,10,8,157,PickupGestureWiimoteZ,euclidean,ward,fcfs
1508,1185.0,2233859,307,2236859,CinCECGTorso,dtw,average,approx_distance_ascending
358,684.0,18946,320,20308,CricketX,msm,complete,pre_clustering
167,123.0,125,103,518,SyntheticControl,euclidean,average,pre_clustering
343,209.0,111,118,781,CricketX,euclidean,complete,fcfs
2389,5591.0,7260933,1016,7269929,UWaveGestureLibraryAll,msm,complete,pre_clustering
552,565.0,114994,131,116242,SmallKitchenAppliances,dtw,ward,pre_clustering
358,267.0,1270,7,1902,CricketY,lorentzian,single,pre_clustering
239,1012.0,1503,334,3088,ECGFiveDays,sbd,weighted,pre_clustering
165,302.0,21306,267,22040,Meat,kdtw,average,pre_clustering
1570,1092.0,9231,459,12352,MixedShapesSmallTrain,lorentzian,single,approx_distance_ascending
532,1012.0,3202967,306,3204817,PigArtPressure,kdtw,average,approx_distance_ascending
170,157.0,1065,195,1587,Meat,msm,ward,pre_clustering
90,536.0,119,3,748,SmoothSubspace,kdtw,single,fcfs
1459,452.0,5092,487,7490,CinCECGTorso,lorentzian,complete,pre_clustering
164,33.0,17,2,216,OliveOil,euclidean,complete,pre_clustering
599,1528.0,7800,276,10203,ShapesAll,sbd,weighted,approx_distance_ascending
4921,20100.0,36514649,4594,36544264,StarLightCurves,msm,complete,pre_clustering
555,83.0,637,4,1279,PigCVP,lorentzian,ward,pre_clustering
129,400.0,294,3,826,UMD,sbd,ward,pre_clustering
272,1095.0,244109,317,245793,OSULeaf,kdtw,average,fcfs
147,164.0,334,4,649,UMD,msm,weighted,fcfs
345,231.0,1231,17,1824,Strawberry,euclidean,single,pre_clustering
714,27323.0,4815151,526,4843714,FreezerRegularTrain,kdtw,weighted,pre_clustering
357,669.0,19264,28,20318,CricketX,msm,weighted,fcfs
